time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1496410200,243.42,244.35,243.08,244.17,70.31266806905583,59.37281367673851,NaN,NaN
1496669400,243.97,244.3,243.76,243.99,69.1692279961839,59.703859973787004,NaN,NaN
1496755800,243.34,243.98,243.12,243.21,64.29022006803905,59.801828764756046,NaN,NaN
1496842200,243.6,243.92,242.83,243.66,65.78949299995534,61.54856111534631,NaN,NaN
1496928600,243.77,244.33,243.17,243.78,66.19706222911609,63.00546657129047,NaN,NaN
1497015000,244.09,245.01,241.95,243.41,63.678013628713344,63.828365942428505,NaN,NaN
1497274200,243.13,243.42,242.38,243.36,63.32730873519615,64.31768314820616,NaN,NaN
1497360600,243.98,244.61,243.5799,244.55,67.86369383200002,65.0040383260125,NaN,NaN
1497447000,244.86,244.87,243.29,244.24,65.58760949203803,65.39537556294425,NaN,NaN
1497533400,242.68,243.91,242.36,243.77,62.182434578928834,65.28863200744527,NaN,NaN
1497619800,242.77,242.83,241.6337,242.64,54.814012632453604,64.67454134873819,NaN,NaN
1497879000,243.59,244.73,243.48,244.66,63.20720466597769,64.74382187402429,NaN,NaN
1497965400,244.25,244.26,242.99,243.01,54.329927725068565,64.20419233158908,NaN,NaN
1498051800,243.42,243.59,242.41,242.95,54.03274592236241,63.19868732679207,NaN,NaN
1498138200,242.96,243.53,242.64,242.84,53.45544644455648,61.99460006789926,NaN,NaN
1498224600,242.91,243.51,242.47,243.13,54.82577538221417,60.970067738329995,NaN,NaN
1498483800,243.9,244.38,243.045,243.29,55.602419278780474,60.34951053909724,NaN,NaN
1498570200,243.04,243.38,241.31,241.33,45.32296012077772,58.887615333441694,NaN,NaN
1498656600,242.5,243.715,242.23,243.49,55.16111666312414,58.09933350729941,NaN,NaN
1498743000,243.66,243.72,239.955,241.35,46.276924763974584,56.856398588389496,NaN,NaN
1498829400,242.28,242.71,241.575,241.8,48.16740128823178,55.773548056463476,NaN,NaN
1499088600,242.88,243.38,242.21,242.21,49.89732658781084,54.49023611044996,NaN,NaN
1499261400,242.63,243.01,241.7,242.77,52.2418816043196,53.53696983275579,NaN,NaN
1499347800,241.89,242.03,240.34,240.55,43.54293177337683,52.20557677521636,NaN,NaN
1499434200,241.21,242.28,240.5645,242.11,49.86094417801502,51.85178617132789,NaN,NaN
1499693400,241.95,242.8,241.76,242.37,50.84821183058827,50.96900096880007,NaN,NaN
1499779800,242.16,242.55,240.85,242.19,50.11253184331774,50.66775840581787,NaN,NaN
1499866200,243.3,244.2,243.3,244.01,56.90224559943663,50.87272266846602,NaN,NaN
1499952600,244.02,244.55,243.76,244.42,58.27978396339033,51.21731820552558,NaN,NaN
1500039000,244.43,245.97,244.31,245.56,61.92401487152818,51.72433531190514,NaN,NaN
1500298200,245.47,245.91,245.33,245.53,61.77110139214972,52.1649554628601,NaN,NaN
1500384600,245.06,245.72,244.67,245.66,62.2066224427164,53.370931342998574,NaN,NaN
1500471000,246.02,247,246.01,246.99,66.4213850257471,54.175236226043076,NaN,NaN
1500557400,247.28,247.42,246.47,247.1,66.7516430103476,55.63771610078401,NaN,NaN
1500643800,246.44,246.91,246.18,246.88,65.3669189395656,56.866253075879285,NaN,NaN
1500903000,246.79,246.98,246.28,246.82,64.971065408501,57.942948705928586,NaN,NaN
1500989400,247.68,247.8,247.16,247.42,67.11568371230956,59.00536314221358,NaN,NaN
1501075800,247.75,247.79,247.13,247.43,67.15178048271994,60.69170947859523,NaN,NaN
1501162200,247.96,248,245.68,247.2,65.37432286748631,61.79980795641461,NaN,NaN
1501248600,246.65,247.06,246.13,246.91,63.1061898223585,62.67537781296962,NaN,NaN
1501507800,247.37,247.48,246.53,246.77,61.98808059238448,63.523631295045824,NaN,NaN
1501594200,247.46,247.5,246.716,247.32,64.63877074230433,64.07624023382208,NaN,NaN
1501680600,247.47,247.6,246.37,247.44,65.20881893931822,64.57117130353122,NaN,NaN
1501767000,247.31,247.34,246.64,246.96,60.974558548936045,64.50335299477463,NaN,NaN
1501853400,247.52,247.79,246.97,247.41,63.375589873336295,64.61795931485939,NaN,NaN
1502112600,247.49,247.87,247.37,247.87,65.69880413082592,64.86740086401008,NaN,NaN
1502199000,247.51,248.91,246.83,247.26,60.24158143583017,64.42598632187314,NaN,NaN
1502285400,246.47,247.31,246.06,247.25,60.1533691618993,63.954681046983985,NaN,NaN
1502371800,246.29,246.44,243.7,243.76,38.79974372293367,62.05702567436742,NaN,NaN
1502458200,244.02,244.8,243.75,244.12,41.12156958720324,60.353490258560434,NaN,NaN
1502717400,245.59,246.79,245.55,246.54,53.80802927681914,59.40294351316826,NaN,NaN
1502803800,246.98,247,246.16,246.51,53.65369073470697,58.438794245453046,NaN,NaN
1502890200,247.11,247.57,246.45,246.94,55.618676639280075,57.741962372009745,NaN,NaN
1502976600,246.24,246.6,243.09,243.09,39.47919637537088,56.0543199829392,NaN,NaN
1503063000,242.9,244.189,242.2,242.71,38.29791970064772,54.362165633529436,NaN,NaN
1503322200,242.64,243.2,241.83,242.9,39.27627459111954,52.55055876558766,NaN,NaN
1503408600,243.57,245.62,243.55,245.44,50.56184823393484,51.504346572345995,NaN,NaN
1503495000,244.33,245.05,244.16,244.56,47.28312299581271,50.52638688998005,NaN,NaN
1503581400,245,245.18,243.75,243.99,45.23690529786654,49.23076656316078,NaN,NaN
1503667800,244.9,245.61,244.39,244.56,47.67547761484933,47.94338609773388,NaN,NaN
1503927000,245.17,245.2,244.09,244.57,47.719461899539795,47.048948987998855,NaN,NaN
1504013400,243.06,245.15,242.93,244.85,49.01188273665272,46.25312852905267,NaN,NaN
1504099800,244.83,246.32,244.62,246.01,54.07688750846167,47.34435308516181,NaN,NaN
1504186200,246.72,247.77,246.0473,247.49,59.592137136977435,48.66367933871711,NaN,NaN
1504272600,247.92,248.33,247.67,247.84,60.79137808586914,49.162489967934974,NaN,NaN
1504618200,247.26,247.52,244.95,246.06,52.29157386646733,49.065195905917854,NaN,NaN
1504704600,246.84,247.28,246.23,246.9,55.45671543230772,49.053627248276975,NaN,NaN
1504791000,247.25,247.27,246.4,246.87,55.315568293135016,50.184796670974414,NaN,NaN
1504877400,246.54,247.11,246.3,246.58,53.88776130030695,51.29835678523578,NaN,NaN
1505136600,248.04,249.3,248.02,249.21,63.171938480716754,53.005189920207,NaN,NaN
1505223000,249.63,250.09,249.42,250.05,65.5571891188956,54.0762856977042,NaN,NaN
1505309400,249.72,250.21,249.59,250.17,65.8969977593829,55.40584818081636,NaN,NaN
1505395800,249.8,250.32,249.6,250.09,65.43351932176098,56.8484634682374,NaN,NaN
1505482200,248.69,249.29,248.57,249.19,60.29560597347448,57.74990120813919,NaN,NaN
1505741400,249.61,250.12,249.28,249.72,62.178984957807536,58.78272428372975,NaN,NaN
1505827800,250,250.07,249.6,249.97,63.06888332479072,59.78679575431103,NaN,NaN
1505914200,250.07,250.19,248.92,250.06,63.402726989779545,60.45292714583373,NaN,NaN
1506000600,249.88,249.98,249.185,249.39,59.11832881749343,60.419083694442016,NaN,NaN
1506087000,249.05,249.63,249.02,249.44,59.33914873307621,60.31535302638538,NaN,NaN
1506346200,249.15,249.5532,248.08,248.93,56.0155899235288,60.581354173318346,NaN,NaN
1506432600,249.42,249.7,248.805,249.08,56.782297054556594,60.67603857490756,NaN,NaN
1506519000,249.88,250.49,248.87,250.05,61.460720052538605,61.114977986293525,NaN,NaN
1506605400,249.73,250.44,249.63,250.35,62.80191703697391,61.751703396055454,NaN,NaN
1506691800,250.34,251.32,250.13,251.23,66.48624409091494,61.98843951106959,NaN,NaN
1506951000,251.49,252.32,251.2926,252.32,70.39732724640473,62.33416366303454,NaN,NaN
1507037400,252.46,252.89,252.23,252.86,72.13242922712774,62.77955162501631,NaN,NaN
1507123800,252.69,253.44,252.56,253.16,73.07656977727513,63.325483800410176,NaN,NaN
1507210200,253.54,254.68,253.196,254.66,77.23039098138344,64.5351113009751,NaN,NaN
1507296600,254.15,254.7008,253.85,254.37,74.82677084470346,65.43852457861053,NaN,NaN
1507555800,254.63,254.7,253.65,253.95,71.36271457535864,66.03094109650823,NaN,NaN
1507642200,254.6,255.05,253.98,254.62,73.47248274480907,66.75020936472463,NaN,NaN
1507728600,254.51,255.02,254.32,255.02,74.67217711328436,67.86119852870969,NaN,NaN
1507815000,254.66,255.06,254.365,254.64,71.37001717352382,68.72054627445594,NaN,NaN
1507901400,255.14,255.27,254.64,254.95,72.44072234821337,69.89377001907629,NaN,NaN
1508160600,255.21,255.51,254.82,255.29,73.60658221620388,71.09550467347965,NaN,NaN
1508247000,255.23,255.52,254.98,255.47,74.22816941516962,72.00746534223902,NaN,NaN
1508333400,255.9,255.95,255.5,255.72,75.10510738350915,72.88626465270582,NaN,NaN
1508419800,254.83,255.83,254.35,255.79,75.35794589658411,73.51995763882505,NaN,NaN
1508506200,256.7,257.14,255.7744,257.11,79.57135079469835,74.17524503513174,NaN,NaN
1508765400,257.48,257.51,256.02,256.11,69.83019880432633,74.01080000493164,NaN,NaN
1508851800,256.6,256.83,256.15,256.56,71.51983530380646,73.89960468539816,NaN,NaN
1508938200,256.18,256.31,254,255.29,61.11685609777999,72.7486379079979,NaN,NaN
1509024600,255.99,256.3,255.48,255.62,62.63761618065221,71.87798400342282,NaN,NaN
1509111000,256.47,257.89,255.6254,257.71,70.50549229913224,71.81675384083522,NaN,NaN
1509370200,257.07,257.6,256.41,256.75,63.853978066665725,71.1297177923964,NaN,NaN
1509456600,257.18,257.44,256.805,257.15,65.32197572644225,70.46184626476482,NaN,NaN
1509543000,258.04,258.43,257.07,257.49,66.56497290823677,70.11862881724431,NaN,NaN
1509629400,257.41,257.75,256.19,257.59,66.94030902267855,69.72574215113468,NaN,NaN
1509715800,257.77,258.5,257.3,258.45,70.0537734933171,69.47197009949991,NaN,NaN
1509978600,258.3,259,258.22,258.85,71.4027833218792,69.27015680712202,NaN,NaN
1510065000,258.97,259.35,258.09,258.67,69.87730392622416,68.89674227445882,NaN,NaN
1510151400,258.47,259.22,258.15,259.11,71.48123875161728,68.6198346212469,NaN,NaN
1510237800,257.73,258.39,256.36,258.17,63.68012445186169,67.48474702533,NaN,NaN
1510324200,257.73,258.2926,257.37,258.09,63.04946804155644,67.00040911370357,NaN,NaN
1510583400,257.31,258.59,257.27,258.33,64.19508004710269,66.4772123096533,NaN,NaN
1510669800,257.41,257.85,256.52,257.73,59.2494053292539,66.3438229690443,NaN,NaN
1510756200,256.62,257.22,255.63,256.44,50.280375648686764,65.46116293104676,NaN,NaN
